name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Mahmoud Abdul-Rauf,35.6,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.454,0.497,2.6,2.8,0.93,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,1.9,26,Denver Nuggets,57,53,2029,414,955,121,309,146,157,26,112,389,64,3,115,117,1095,0,1,0,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Rastko Cvetković,3.4,0.4,1.1,0.313,0.0,0.1,0.0,0.4,1.1,0.333,0.313,0.0,0.3,0.0,0.3,0.5,0.8,0.2,0.1,0.1,0.2,0.8,0.7,2.1,0.282,0.063,0.25,9.6,16.9,13.2,9.6,2.2,1.5,14.5,19.3,-0.2,0.1,-0.1,-0.118,-9.8,-1.3,-11.0,-0.1,25,Denver Nuggets,14,0,48,5,16,0,1,0,4,4,7,3,2,1,3,11,10,1,0,0,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Dale Ellis,32.4,5.7,11.8,0.479,1.9,4.5,0.412,3.8,7.3,0.519,0.557,1.7,2.2,0.76,1.1,2.8,3.9,1.7,0.7,0.1,1.2,2.4,14.9,14.7,0.58,0.38,0.187,3.9,10.0,6.9,9.1,1.1,0.2,8.6,19.3,4.7,1.5,6.2,0.114,1.5,-0.9,0.6,1.7,35,Denver Nuggets,81,52,2626,459,959,150,364,136,179,88,227,139,57,7,98,191,1204,0,0,0,0,1,35,47,.427,97.7,100.4,-2.62,1995-96
LaPhonso Ellis,28.2,4.2,9.6,0.438,0.1,0.5,0.182,4.1,9.1,0.451,0.442,2.0,3.3,0.601,2.1,5.1,7.2,1.6,0.8,0.7,1.8,3.6,10.5,12.1,0.474,0.051,0.343,8.4,20.9,14.7,9.6,1.5,1.9,14.3,20.4,-0.5,1.5,1.0,0.039,-3.2,0.1,-3.1,-0.3,25,Denver Nuggets,45,28,1269,189,432,4,22,89,148,93,229,74,36,33,83,163,471,0,0,0,0,1,35,47,.427,97.7,100.4,-2.62,1995-96
Tom Hammonds,14.7,1.8,3.8,0.474,0.0,0.0,0.0,1.8,3.8,0.474,0.474,1.2,1.6,0.765,1.2,1.9,3.1,0.3,0.3,0.2,0.7,1.9,4.8,11.2,0.537,0.0,0.429,9.4,15.3,12.3,3.5,1.1,0.9,13.1,15.7,0.9,0.9,1.8,0.081,-2.8,-0.9,-3.8,-0.5,28,Denver Nuggets,71,4,1045,127,268,0,0,88,115,85,138,23,23,13,48,137,342,0,0,1,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Don MacLean,19.8,4.2,9.8,0.426,0.3,0.9,0.286,3.9,8.9,0.44,0.439,2.6,3.5,0.732,1.1,2.6,3.7,1.6,0.4,0.1,1.2,1.9,11.2,15.7,0.493,0.09,0.362,6.5,15.0,10.7,14.7,1.0,0.3,9.7,28.3,0.7,0.8,1.5,0.064,0.2,-1.5,-1.3,0.2,26,Denver Nuggets,56,5,1107,233,547,14,49,145,198,62,143,89,21,5,68,105,625,0,0,0,0,1,35,47,.427,97.7,100.4,-2.62,1995-96
Antonio McDyess,30.0,5.6,11.6,0.485,0.0,0.1,0.0,5.6,11.5,0.487,0.485,2.2,3.2,0.683,3.0,4.5,7.5,1.0,0.7,1.5,2.0,3.3,13.4,15.6,0.516,0.005,0.276,11.6,17.4,14.5,5.8,1.2,3.6,13.5,22.4,0.9,2.7,3.6,0.075,-1.4,-0.5,-1.9,0.0,21,Denver Nuggets,76,75,2280,427,881,0,4,166,243,229,343,75,54,114,154,250,1020,0,0,1,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Dikembe Mutombo,36.7,3.8,7.7,0.499,0.0,0.0,0.0,3.8,7.7,0.5,0.499,3.3,4.8,0.695,3.4,8.4,11.8,1.5,0.5,4.5,2.0,3.5,11.0,17.1,0.562,0.002,0.622,10.6,26.6,18.6,6.1,0.7,8.8,17.1,14.4,2.6,5.0,7.6,0.134,-0.7,2.8,2.1,2.8,29,Denver Nuggets,74,74,2713,284,569,0,1,246,354,249,622,108,38,332,150,258,814,1,0,0,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Doug Overton,11.0,1.2,3.2,0.376,0.1,0.5,0.308,1.1,2.8,0.388,0.399,0.7,1.0,0.727,0.1,1.0,1.1,1.9,0.2,0.1,0.7,0.9,3.3,9.9,0.45,0.146,0.309,1.5,10.5,6.0,27.0,1.1,0.6,16.5,17.8,-0.1,0.4,0.2,0.02,-2.5,-0.8,-3.3,-0.2,26,Denver Nuggets,55,0,607,67,178,8,26,40,55,8,55,106,13,5,40,49,182,0,1,0,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Jalen Rose,26.7,3.6,7.6,0.48,0.4,1.4,0.296,3.2,6.2,0.52,0.507,2.4,3.5,0.69,0.6,2.7,3.3,6.2,0.7,0.5,2.9,2.9,10.0,14.3,0.553,0.179,0.459,2.5,11.6,7.0,37.4,1.3,1.3,24.4,20.1,1.2,1.7,2.9,0.065,0.0,-0.6,-0.6,0.7,23,Denver Nuggets,80,37,2134,290,604,32,108,191,277,46,214,495,53,39,234,229,803,0,0,0,1,0,35,47,.427,97.7,100.4,-2.62,1995-96
