name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Kareem Abdul-Jabbar,32.8,9.0,15.5,.578,0.0,0.0,.000,9.0,15.5,.579,.578,3.6,4.9,.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,LAL
Alvan Adams,20.7,3.8,8.3,.462,0.0,0.1,.000,3.8,8.3,.465,.462,1.9,2.3,.825,1.7,2.9,4.6,3.1,1.0,0.4,1.7,2.8,9.6,PHO
Mark Aguirre,36.7,11.7,22.3,.524,0.2,0.7,.268,11.5,21.6,.532,.528,5.9,7.9,.749,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5,DAL
Danny Ainge,16.3,2.3,5.1,.460,0.1,0.3,.273,2.3,4.8,.472,.468,0.6,0.8,.821,0.4,1.2,1.6,2.3,0.6,0.1,1.0,2.0,5.4,BOS
J.J. Anderson,6.5,1.1,2.7,.423,0.0,0.1,.000,1.1,2.6,.433,.423,0.3,0.6,.414,0.8,0.5,1.3,0.5,0.3,0.2,0.4,0.6,2.5,UTA
Richard Anderson,17.7,3.5,8.2,.426,0.0,0.2,.158,3.4,7.9,.435,.429,1.5,1.9,.773,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5,DEN
Tiny Archibald,22.6,3.0,6.1,.487,0.1,0.4,.222,2.9,5.7,.506,.495,1.4,2.2,.634,0.3,1.3,1.7,3.5,0.7,0.0,1.7,1.7,7.4,MIL
Ken Austin,4.0,0.9,1.9,.462,0.0,0.0,,0.9,1.9,.462,.462,0.0,0.0,,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1.0,1.7,DET
John Bagley,22.5,3.4,8.0,.423,0.0,0.2,.118,3.4,7.8,.432,.425,2.1,2.6,.793,0.6,1.4,2.1,4.4,1.0,0.1,2.2,1.5,8.9,CLE
James Bailey,16.1,3.5,7.1,.491,0.0,0.0,.000,3.5,7.1,.492,.491,1.9,2.6,.719,1.4,2.6,4.0,1.1,0.5,0.5,1.4,2.7,8.8,HOU
Thurl Bailey,24.8,3.7,7.3,.512,0.0,0.0,,3.7,7.3,.512,.512,1.1,1.4,.752,1.4,4.3,5.7,1.6,0.5,1.5,1.3,2.4,8.5,UTA
Greg Ballard,32.9,6.2,12.9,.481,0.0,0.2,.133,6.2,12.8,.486,.482,2.0,2.5,.798,1.7,4.2,6.0,3.5,1.1,0.4,1.7,2.6,14.5,WSB
Gene Banks,32.5,5.3,9.3,.568,0.0,0.1,.167,5.3,9.3,.571,.568,2.5,3.4,.741,2.6,4.7,7.3,3.2,1.3,0.3,2.1,3.2,13.1,SAS
Dave Batton,7.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.0,0.0,,0.3,0.8,1.0,0.8,0.0,0.8,1.0,1.3,2.5,SAS
Kent Benson,21.1,3.0,5.5,.550,0.0,0.0,.000,3.0,5.5,.551,.550,1.0,1.2,.822,1.4,3.6,5.0,1.6,0.9,0.6,1.0,2.8,7.1,DET
Larry Bird,38.3,9.6,19.5,.492,0.2,0.9,.247,9.4,18.6,.504,.497,4.7,5.3,.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,BOS
Otis Birdsong,31.4,8.4,16.6,.508,0.1,0.3,.250,8.4,16.3,.513,.510,2.8,4.6,.608,1.1,1.4,2.5,3.9,1.2,0.2,2.5,2.6,19.8,NJN
Rolando Blackman,37.3,8.9,16.3,.546,0.0,0.1,.091,8.9,16.2,.550,.547,4.6,5.7,.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4,DAL
Tom Boswell,6.9,0.7,1.4,.538,0.0,0.0,1.000,0.7,1.3,.529,.548,0.4,0.6,.762,0.7,0.9,1.7,0.4,0.2,0.0,0.3,1.5,1.9,UTA
Charles Bradley,4.9,0.4,0.9,.429,0.0,0.0,,0.4,0.9,.429,.429,0.6,0.9,.714,0.0,0.4,0.4,0.6,0.0,0.1,1.0,0.8,1.4,SEA
Mike Bratz,17.4,2.6,6.4,.409,0.2,0.6,.294,2.4,5.7,.421,.423,1.5,1.7,.876,0.5,1.2,1.7,3.1,1.0,0.1,1.3,1.9,6.8,GSW
Randy Breuer,8.3,1.2,3.1,.384,0.0,0.0,,1.2,3.1,.384,.384,0.6,0.8,.696,0.8,1.1,1.9,0.3,0.2,0.7,0.6,1.7,2.9,MIL
Ron Brewer,18.7,3.4,7.6,.444,0.1,0.3,.214,3.3,7.3,.452,.448,1.0,1.3,.776,0.4,0.8,1.2,0.9,0.5,0.4,0.8,1.2,7.8,TOT
Ron Brewer,16.2,2.1,4.5,.466,0.0,0.1,.000,2.1,4.4,.474,.466,0.8,1.3,.647,0.4,0.6,1.0,0.5,0.5,0.4,0.5,0.8,5.0,GSW
Ron Brewer,19.6,3.8,8.6,.441,0.1,0.3,.231,3.7,8.3,.449,.445,1.0,1.3,.820,0.4,0.8,1.3,1.1,0.5,0.4,0.8,1.4,8.7,SAS
Junior Bridgeman,30.0,6.3,13.5,.465,0.1,0.4,.194,6.2,13.1,.473,.468,2.4,3.0,.807,1.0,3.1,4.1,3.3,0.7,0.2,1.8,2.8,15.1,MIL
Michael Brooks,29.9,4.5,9.5,.479,0.0,0.1,.000,4.5,9.4,.484,.479,2.2,3.2,.689,3.0,4.3,7.3,1.9,1.1,0.3,1.7,2.7,11.3,SDC
Fred Brown,15.9,3.6,7.1,.510,0.1,0.5,.265,3.5,6.6,.528,.519,1.1,1.2,.895,0.2,0.7,0.9,2.7,0.7,0.0,1.0,1.2,8.5,SEA
Rickey Brown,11.5,1.4,3.0,.468,0.0,0.0,,1.4,3.0,.468,.468,0.7,1.0,.738,1.0,1.7,2.7,0.4,0.3,0.3,0.8,2.4,3.5,ATL
Wallace Bryant,10.9,1.8,4.6,.391,0.0,0.0,,1.8,4.6,.391,.391,0.5,1.1,.424,1.3,1.5,2.8,0.4,0.3,0.4,0.6,1.7,4.1,CHI
Quinn Buckner,15.8,1.7,4.1,.427,0.0,0.1,.000,1.7,4.0,.435,.427,0.6,0.9,.649,0.5,1.2,1.7,2.7,1.1,0.0,1.3,2.4,4.1,BOS
Don Buse,17.5,2.0,4.6,.426,0.2,0.8,.305,1.7,3.9,.451,.452,0.8,1.1,.788,0.4,1.1,1.5,4.0,1.1,0.0,1.1,0.8,5.0,KCK
Kenny Carr,29.9,6.3,11.3,.561,0.0,0.1,.000,6.3,11.2,.564,.561,3.0,4.5,.673,2.5,5.3,7.8,1.9,0.8,0.4,2.5,3.3,15.6,POR
M.L. Carr,9.8,1.2,2.9,.409,0.1,0.3,.200,1.1,2.6,.429,.418,0.7,0.8,.875,0.4,0.8,1.3,0.8,0.3,0.1,0.8,1.1,3.1,BOS
Joe Barry Carroll,37.0,8.3,17.4,.477,0.0,0.0,.000,8.3,17.4,.477,.477,3.9,5.4,.723,2.9,5.0,8.0,2.5,1.3,1.8,3.4,3.1,20.5,GSW
Butch Carter,28.0,5.7,11.8,.479,0.2,0.6,.326,5.5,11.2,.488,.488,1.9,2.4,.764,1.0,1.1,2.1,2.8,1.8,0.2,1.9,2.9,13.4,IND
Howard Carter,12.5,2.6,5.7,.459,0.1,0.3,.263,2.5,5.4,.471,.467,0.9,1.1,.770,0.7,0.9,1.6,1.3,0.3,0.1,0.8,1.5,6.2,DEN
Bill Cartwright,32.3,5.9,10.5,.561,0.0,0.0,.000,5.9,10.5,.561,.561,5.2,6.5,.805,2.5,5.9,8.4,1.4,0.6,1.3,2.6,3.4,17.0,NYK
Harvey Catchings,16.8,0.9,2.2,.399,0.0,0.0,.000,0.9,2.2,.401,.399,0.3,0.6,.524,1.3,2.6,3.9,0.6,0.4,1.2,0.8,2.5,2.1,MIL
Tom Chambers,31.3,6.8,13.5,.499,0.0,0.1,.000,6.8,13.4,.505,.499,4.6,5.7,.800,2.7,3.8,6.5,1.6,0.6,0.6,2.3,3.8,18.1,SEA
