team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,g,mp,fg,fga,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,champion
Boston Celtics,61,21,.744,113.5,105.7,7.37,82,242.4,44.1,90.1,23.3,29.9,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5,0
Philadelphia 76ers,59,23,.720,109.1,104.9,4.04,82,242.1,43.0,87.3,22.9,29.6,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1,0
Washington Bullets,39,43,.476,107.0,109.5,-2.27,82,242.4,43.6,95.1,18.9,25.0,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0,0
New York Knicks,39,43,.476,114.0,115.1,-0.96,82,241.2,46.4,93.6,20.7,27.7,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0,0
New Jersey Nets,34,48,.415,108.3,109.5,-0.98,82,241.5,42.1,91.5,23.0,29.3,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3,0
Atlanta Hawks,50,32,.610,104.5,101.6,2.83,82,241.2,39.8,85.7,24.9,32.3,16.7,29.3,46.0,23.3,9.5,6.6,18.2,28.0,104.5,0
Houston Rockets,41,41,.500,110.8,110.6,0.27,82,243.0,43.9,91.4,21.7,28.4,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,0
San Antonio Spurs,41,41,.500,119.4,119.7,-0.24,82,240.9,47.0,94.4,24.7,30.8,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,0
Indiana Pacers,37,45,.451,111.2,111.9,-0.54,82,242.1,44.4,93.8,21.4,28.5,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2,0
Cleveland Cavaliers,37,45,.451,114.1,113.8,0.43,82,243.0,46.5,98.1,20.8,26.9,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1,0
Detroit Pistons,16,66,.195,108.9,117.2,-7.57,82,241.2,44.4,92.6,19.4,26.2,15.0,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9,0
Milwaukee Bucks,49,33,.598,110.1,106.1,3.57,82,241.5,44.9,92.1,19.6,25.6,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,0
Kansas City Kings,47,35,.573,108.0,104.9,2.82,82,241.5,43.7,91.3,20.4,27.4,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0,0
Denver Nuggets,30,52,.366,108.3,112.7,-4.22,82,241.8,42.2,91.1,22.8,31.0,16.0,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3,0
Chicago Bulls,30,52,.366,107.5,110.2,-2.63,82,242.7,41.0,84.7,24.6,31.6,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,0
Utah Jazz,24,58,.293,102.4,108.4,-5.71,82,241.5,41.2,83.1,19.2,23.7,11.8,28.8,40.6,24.5,8.0,4.4,18.8,24.5,102.4,0
Los Angeles Lakers,60,22,.732,115.1,109.2,5.40,82,242.4,47.5,89.9,19.8,25.5,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1,1
Seattle SuperSonics,56,26,.683,108.5,103.8,4.24,82,241.8,43.3,92.3,21.1,27.5,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5,0
Phoenix Suns,55,27,.671,111.1,107.5,3.25,82,240.9,43.5,88.2,23.2,30.1,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1,0
Portland Trail Blazers,38,44,.463,102.5,103.3,-0.87,82,241.2,41.6,87.4,19.0,25.6,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5,0
San Diego Clippers,35,47,.427,107.6,111.7,-3.97,82,240.9,43.0,91.4,19.5,26.4,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6,0
Golden State Warriors,24,58,.293,103.6,108.0,-4.20,82,242.4,43.0,89.2,17.2,23.3,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,0
