team,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,g,mp,fg,fga,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,champion
Boston Celtics,45,37,.549,101.3,100.4,0.35,82,242.4,37.1,79.4,21.6,28.3,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,0
Boston Celtics,45,37,.549,101.3,100.4,0.35,82,19880,3046,6511,1775,2323,909,2438,3347,1810,667,423,1297,2000,8304,0
Philadelphia 76ers,43,39,.524,99.1,99.9,-1.07,82,242.1,35.9,82.1,21.1,26.8,11.1,30.9,42.0,20.9,9.2,3.9,15.5,22.9,99.1,0
Philadelphia 76ers,43,39,.524,99.1,99.9,-1.07,82,19855,2946,6736,1731,2194,909,2536,3445,1710,756,321,1274,1878,8128,0
New Jersey Nets,42,40,.512,91.4,92.9,-1.82,82,242.7,33.6,78.3,19.0,24.9,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4,0
New Jersey Nets,42,40,.512,91.4,92.9,-1.82,82,19905,2753,6419,1555,2039,855,2387,3242,1772,650,308,1164,1985,7496,0
Toronto Raptors,33,49,.402,99.7,101.4,-1.81,82,241.5,36.0,81.2,19.8,25.6,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,99.7,0
Toronto Raptors,33,49,.402,99.7,101.4,-1.81,82,19805,2952,6656,1626,2101,844,2444,3288,1670,621,317,1087,1876,8178,0
New York Knicks,33,49,.402,97.3,99.7,-2.72,82,242.4,36.3,80.5,19.3,25.1,11.8,29.2,41.0,20.3,7.7,3.2,14.7,23.7,97.3,0
New York Knicks,33,49,.402,97.3,99.7,-2.72,82,19880,2978,6599,1580,2060,965,2393,3358,1665,629,260,1204,1942,7977,0
Detroit Pistons,54,28,.659,93.3,89.5,3.31,82,243.4,34.8,78.3,19.4,26.2,12.9,30.6,43.4,21.8,7.0,6.1,13.8,20.0,93.3,0
Detroit Pistons,54,28,.659,93.3,89.5,3.31,82,19955,2851,6421,1588,2150,1054,2507,3561,1787,576,497,1133,1638,7653,0
Chicago Bulls,47,35,.573,94.5,93.4,0.65,82,241.8,34.7,80.4,18.7,25.0,12.2,31.6,43.8,21.3,7.0,4.5,16.7,24.7,94.5,0
Chicago Bulls,47,35,.573,94.5,93.4,0.65,82,19830,2849,6592,1536,2048,1001,2591,3592,1743,576,369,1371,2028,7745,0
Indiana Pacers,44,38,.537,93.0,92.2,0.49,82,242.7,32.5,75.2,21.3,26.9,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23.0,93.0,0
Indiana Pacers,44,38,.537,93.0,92.2,0.49,82,19905,2668,6169,1748,2206,868,2418,3286,1489,615,357,1173,1890,7626,0
Cleveland Cavaliers,42,40,.512,96.5,95.7,0.27,82,242.1,36.5,81.5,19.9,26.5,13.6,28.7,42.3,22.6,8.0,5.6,13.9,22.6,96.5,0
Cleveland Cavaliers,42,40,.512,96.5,95.7,0.27,82,19855,2990,6687,1634,2174,1117,2352,3469,1851,654,461,1141,1850,7914,0
Milwaukee Bucks,30,52,.366,97.2,100.2,-3.09,82,241.2,36.1,80.2,21.0,27.2,12.0,29.3,41.3,21.0,6.5,3.5,13.8,21.9,97.2,0
Milwaukee Bucks,30,52,.366,97.2,100.2,-3.09,82,19780,2964,6580,1720,2229,985,2405,3390,1720,529,289,1132,1797,7973,0
