name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Aaron McKie,22.4,1.7,4.7,0.365,0.1,0.8,0.19,1.6,3.9,0.399,0.381,0.5,0.7,0.764,0.7,2.1,2.9,2.2,1.2,0.2,0.9,2.0,4.1,8.692592592592591,0.4111481481481481,0.1651111111111111,0.1471111111111111,3.818518518518518,11.129629629629628,7.474074074074074,14.940740740740742,2.981481481481482,0.5518518518518519,15.851851851851851,12.122222222222222,-0.5333333333333333,1.1629629629629628,0.7,0.037333333333333336,-3.496296296296296,2.0,-1.4259259259259258,0.05925925925925927,25,"Detroit Pistons, Philadelphia 76Ers",81,32,1813,139,381,12,63,42,55,58,173,175,101,13,76,164,332,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvin Williams,19.8,2.3,5.2,0.443,0.2,0.5,0.321,2.1,4.7,0.457,0.459,1.2,1.7,0.722,0.4,1.1,1.5,1.9,0.7,0.1,1.1,1.5,6.0,10.10925925925926,0.4951666666666667,0.09859259259259259,0.3122592592592593,2.675925925925926,6.19074074074074,4.40925925925926,15.63888888888889,1.9240740740740738,0.2240740740740741,15.162962962962963,15.72037037037037,0.4555555555555555,0.6074074074074075,1.0629629629629629,0.05477777777777777,-2.653703703703704,-0.10925925925925926,-2.7629629629629626,-0.04814814814814815,23,"Portland Trail Blazers, Toronto Raptors",54,13,1071,125,282,9,28,65,90,24,57,103,38,3,58,79,324,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Peeler,31.4,5.0,11.1,0.452,1.4,3.3,0.424,3.6,7.8,0.464,0.515,0.9,1.2,0.766,1.0,2.3,3.2,3.6,1.6,0.2,1.3,2.6,12.3,15.042105263157895,0.5321578947368422,0.2963684210526316,0.11063157894736841,3.5578947368421048,8.136842105263158,5.8578947368421055,18.394736842105264,2.615789473684211,0.3157894736842105,10.163157894736841,18.273684210526316,1.1894736842105265,0.5526315789473685,1.7421052631578948,0.09884210526315788,0.6,0.5631578947368421,1.1842105263157894,0.6736842105263158,28,"Vancouver Grizzlies, Minnesota Timberwolves",38,32,1193,190,420,53,125,36,47,37,86,137,61,6,51,97,469,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Armstrong,12.6,1.6,3.2,0.493,0.1,0.5,0.257,1.5,2.7,0.539,0.514,0.6,0.8,0.84,0.2,0.9,1.2,2.3,0.4,0.0,0.6,1.1,4.0,14.66060606060606,0.5616060606060606,0.1676060606060606,0.23084848484848483,2.2090909090909094,8.606060606060606,5.454545454545454,29.181818181818183,1.8151515151515152,0.0,14.706060606060605,15.3,1.678787878787879,0.4757575757575757,2.1545454545454543,0.12687878787878787,0.06363636363636363,0.11212121212121212,0.17575757575757567,0.4636363636363637,30,"Golden State Warriors, Charlotte Hornets",66,0,831,105,213,9,35,42,50,16,60,150,29,0,42,74,261,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Hurley,14.3,1.5,3.9,0.391,0.1,0.4,0.227,1.4,3.5,0.407,0.401,1.0,1.2,0.776,0.2,0.9,1.1,2.9,0.4,0.0,1.4,1.3,4.1,9.181967213114753,0.4645409836065573,0.09768852459016393,0.3197868852459016,1.578688524590164,7.191803278688526,4.357377049180327,31.029508196721313,1.378688524590164,0.0,24.067213114754097,18.234426229508195,-0.28852459016393445,0.022950819672131154,-0.22131147540983606,-0.02422950819672131,-3.598360655737705,-2.785245901639344,-6.383606557377049,-0.4770491803278688,26,"Sacramento Kings, Vancouver Grizzlies",61,3,875,93,238,5,22,59,76,12,54,177,23,0,86,79,250,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Barry,27.6,3.7,8.7,0.421,1.6,3.9,0.393,2.1,4.8,0.444,0.51,2.0,2.3,0.858,0.5,2.4,2.9,2.6,1.1,0.5,1.8,2.0,10.9,13.81551724137931,0.551103448275862,0.47094827586206894,0.25125862068965515,1.889655172413793,10.339655172413794,6.158620689655172,15.344827586206897,2.2224137931034478,1.1,14.76896551724138,17.870689655172413,1.3603448275862067,0.25862068965517243,1.6189655172413795,0.08753448275862069,0.303448275862069,0.196551724137931,0.5,0.6241379310344828,26,"Los Angeles Clippers, Miami Heat",58,36,1600,213,506,90,229,115,134,29,142,153,64,27,104,118,631,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Evans,12.4,1.7,4.3,0.394,0.4,1.2,0.333,1.3,3.1,0.418,0.441,0.6,0.8,0.807,0.7,1.2,1.9,0.8,0.4,0.2,0.5,1.4,4.5,12.0,0.4808333333333333,0.2872222222222222,0.17544444444444446,6.205555555555557,12.027777777777779,8.977777777777778,10.461111111111112,1.7722222222222226,1.038888888888889,10.261111111111111,18.827777777777776,0.31666666666666665,0.4444444444444444,0.7611111111111111,0.08172222222222222,-0.8333333333333334,-0.3277777777777778,-1.161111111111111,0.10000000000000002,24,"Orlando Magic, New Jersey Nets",72,1,893,123,312,29,87,46,57,49,88,55,29,13,38,101,321,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Shaw,25.9,2.6,7.6,0.345,0.5,1.6,0.295,2.1,5.9,0.359,0.377,0.6,0.9,0.692,0.6,3.0,3.6,4.4,0.8,0.3,1.7,2.5,6.3,9.140677966101695,0.3971186440677966,0.21223728813559326,0.11716949152542373,2.6440677966101696,12.94915254237288,7.630508474576271,27.672881355932205,1.6983050847457628,0.7305084745762712,17.238983050847455,16.291525423728814,-0.8593220338983051,0.7627118644067796,-0.06271186440677964,0.002610169491525424,-3.5237288135593214,0.2966101694915254,-3.293220338983051,-0.2983050847457627,31,"Golden State Warriors, Philadelphia 76Ers",59,34,1530,154,446,28,95,36,52,37,178,261,49,17,99,148,372,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooks Thompson,5.6,0.8,1.9,0.411,0.3,1.0,0.3,0.5,0.9,0.538,0.491,0.1,0.3,0.5,0.0,0.5,0.5,0.9,0.3,0.0,0.5,0.7,2.0,11.286666666666667,0.4986666666666667,0.5306666666666666,0.14556666666666668,1.1266666666666667,9.956666666666669,5.563333333333333,23.286666666666665,3.5233333333333334,0.33999999999999997,21.290000000000003,23.506666666666664,-0.043333333333333335,0.15666666666666668,0.11333333333333334,0.03286666666666667,-3.3766666666666665,1.1966666666666665,-2.18,0.0,27,"Phoenix Suns, New York Knicks",30,0,167,23,56,9,30,4,8,1,14,27,10,1,16,22,59,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl Thomas,9.9,1.3,3.3,0.4,0.5,1.4,0.339,0.8,1.9,0.444,0.471,0.4,0.6,0.64,0.2,0.9,1.1,0.4,0.5,0.2,0.4,0.9,3.4,11.888372093023255,0.5177209302325582,0.44132558139534883,0.1984651162790698,2.518604651162791,10.4,6.481395348837211,7.865116279069769,2.532558139534884,1.5069767441860464,11.1,17.234883720930235,0.009302325581395349,0.36046511627906974,0.3697674418604651,0.09167441860465117,-0.844186046511628,1.5534883720930235,0.7093023255813954,0.07674418604651163,28,"Golden State Warriors, Orlando Magic, Cleveland Cavaliers",43,0,426,56,140,20,59,16,25,10,37,19,21,7,18,39,148,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Rogers,17.9,2.2,4.3,0.516,0.0,0.1,0.0,2.2,4.2,0.528,0.516,0.9,1.5,0.563,1.7,1.5,3.2,0.9,0.5,0.4,0.7,1.7,5.3,12.385714285714284,0.5291428571428571,0.04514285714285714,0.3154285714285714,9.685714285714287,9.471428571428572,9.585714285714285,8.114285714285716,1.4142857142857144,1.3714285714285714,12.62857142857143,13.557142857142859,0.42857142857142855,0.0,0.42857142857142855,0.06300000000000001,-1.0571428571428572,-1.6142857142857143,-2.6714285714285717,-0.08571428571428572,26,"Toronto Raptors, Portland Trail Blazers",21,0,376,47,91,0,2,18,32,35,32,18,10,8,14,35,112,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Ceballos,21.1,4.3,8.8,0.492,0.4,1.5,0.3,3.9,7.3,0.53,0.517,2.3,3.1,0.738,1.6,3.1,4.7,1.3,0.7,0.3,1.5,1.9,11.4,19.251063829787235,0.5609361702127659,0.1768936170212766,0.34208510638297873,9.136170212765958,17.085106382978722,13.159574468085106,10.54468085106383,1.748936170212766,1.053191489361702,12.593617021276595,24.991489361702126,0.9957446808510638,0.7468085106382979,1.7425531914893617,0.14538297872340425,2.146808510638298,-0.004255319148936155,2.1425531914893616,0.597872340425532,28,"Phoenix Suns, Dallas Mavericks",47,25,990,204,415,21,70,107,145,75,146,60,33,16,72,88,536,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Smith,8.6,1.4,3.7,0.392,0.4,1.4,0.319,1.0,2.3,0.436,0.452,0.2,0.3,0.545,0.4,0.4,0.8,0.6,0.4,0.2,0.8,0.7,3.5,7.347058823529411,0.4178823529411764,0.33205882352941174,0.09273529411764707,8.48235294117647,6.776470588235293,7.597058823529412,12.123529411764705,2.4529411764705884,1.6235294117647059,18.552941176470586,26.96470588235294,-0.16470588235294117,0.03235294117647059,-0.1323529411764706,-0.12073529411764707,-4.735294117647059,-3.008823529411765,-7.7441176470588236,-0.1,22,"Miami Heat, Los Angeles Clippers",34,0,292,49,125,15,47,6,11,13,14,21,12,6,27,24,119,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chauncey Billups,27.7,3.5,9.4,0.374,1.3,4.1,0.329,2.2,5.3,0.408,0.445,2.8,3.3,0.85,0.8,1.6,2.4,3.9,1.3,0.1,2.2,2.2,11.2,13.841249999999999,0.5165875,0.43231249999999993,0.3583,3.0462499999999997,7.191249999999999,4.955,23.075,2.5925,0.1,16.75875,20.54,1.2375,0.5650000000000001,1.8024999999999998,0.06845,0.32999999999999996,-1.27,-0.9399999999999998,0.42874999999999996,21,"Boston Celtics, Toronto Raptors",80,70,2216,280,749,107,325,226,266,62,128,314,107,4,174,172,893,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
