name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Kareem Abdul-Jabbar,CENTER,39,LOS ANGELES LAKERS,78,78,2441,560,993,1,3,245,343,152,371,203,49,97,186,245,1366
Alvan Adams,CENTER,32,PHOENIX SUNS,68,40,1690,311,618,0,1,134,170,91,247,223,62,37,139,207,756
Michael Adams,POINT GUARD,24,WASHINGTON BULLETS,63,0,1303,160,393,28,102,105,124,38,85,244,85,6,81,88,453
Rafael Addison,SMALL FORWARD,22,PHOENIX SUNS,62,12,711,146,331,16,50,51,64,41,65,45,27,7,54,75,359
Mark Aguirre,SMALL FORWARD,27,DALLAS MAVERICKS,80,80,2663,787,1590,53,150,429,557,181,246,254,84,30,217,243,2056
Danny Ainge,SHOOTING GUARD,27,BOSTON CELTICS,71,66,2499,410,844,85,192,148,165,49,193,400,101,14,141,189,1053
Mark Alarie,POWER FORWARD,23,DENVER NUGGETS,64,25,1110,217,443,2,9,67,101,73,141,74,22,28,56,138,503
Richard Anderson,POWER FORWARD,26,HOUSTON ROCKETS,51,0,312,59,139,4,16,22,29,24,55,33,7,3,19,37,144
Ron Anderson,SMALL FORWARD,28,INDIANA PACERS,63,0,721,139,294,0,5,85,108,73,78,54,31,3,55,65,363
John Bagley,POINT GUARD,26,CLEVELAND CAVALIERS,72,67,2182,312,732,31,103,113,136,55,197,379,91,7,163,114,768
James Bailey,POWER FORWARD,29,NEW JERSEY NETS,34,2,542,112,239,0,0,58,80,48,89,20,12,23,54,119,282
Thurl Bailey,POWER FORWARD,25,UTAH JAZZ,81,2,2155,463,1036,0,2,190,236,145,287,102,38,88,123,150,1116
Greg Ballard,SMALL FORWARD,32,GOLDEN STATE WARRIORS,82,7,1579,248,564,15,40,68,91,99,241,108,50,15,70,167,579
Gene Banks,SMALL FORWARD,27,CHICAGO BULLS,63,39,1822,249,462,0,5,112,146,115,193,170,52,17,113,173,610
Charles Barkley,POWER FORWARD,23,PHILADELPHIA 76ERS,68,62,2740,557,937,21,104,429,564,390,604,331,119,104,322,252,1564
John Battle,SHOOTING GUARD,24,ATLANTA HAWKS,64,8,804,144,315,0,10,93,126,16,44,124,29,5,60,76,381
William Bedford,CENTER,23,PHOENIX SUNS,50,18,979,142,358,0,1,50,86,79,167,57,18,37,85,125,334
Benoit Benjamin,CENTER,22,LOS ANGELES CLIPPERS,72,61,2230,320,713,0,2,188,263,134,452,135,60,187,184,251,828
Kent Benson,CENTER,32,UTAH JAZZ,73,2,895,140,316,2,7,47,58,80,151,39,39,28,45,138,329
Walter Berry,POWER FORWARD,22,PORTLAND TRAIL BLAZERS,7,0,19,6,8,0,0,1,1,4,3,1,2,0,0,8,13
Walter Berry,SMALL FORWARD,22,SAN ANTONIO SPURS,56,45,1567,401,758,0,3,186,287,132,170,104,36,40,153,188,988
Joe Binion,POWER FORWARD,25,PORTLAND TRAIL BLAZERS,11,0,51,4,10,0,0,6,10,8,10,1,2,2,3,5,14
Larry Bird,SMALL FORWARD,30,BOSTON CELTICS,74,73,3005,786,1497,90,225,414,455,124,558,566,135,70,240,185,2076
Otis Birdsong,SHOOTING GUARD,31,NEW JERSEY NETS,7,6,127,19,42,0,1,6,9,3,4,17,3,0,9,16,44
Uwe Blab,CENTER,24,DALLAS MAVERICKS,30,0,160,20,51,0,0,13,28,11,25,13,4,9,15,33,53
Rolando Blackman,SHOOTING GUARD,27,DALLAS MAVERICKS,80,80,2758,626,1264,5,15,419,474,96,182,266,64,21,174,142,1676
Manute Bol,CENTER,24,WASHINGTON BULLETS,82,12,1552,103,231,0,1,45,67,84,278,11,20,302,61,189,251
Sam Bowie,CENTER,25,PORTLAND TRAIL BLAZERS,5,5,163,30,66,0,0,20,30,14,19,9,1,10,15,19,80
Dudley Bradley,SHOOTING GUARD,29,MILWAUKEE BUCKS,68,2,900,76,213,13,50,47,58,31,71,66,105,8,34,118,212
Adrian Branch,SMALL FORWARD,23,LOS ANGELES LAKERS,32,0,219,48,96,0,2,42,54,23,30,16,16,3,24,39,138
Randy Breuer,CENTER,26,MILWAUKEE BUCKS,76,10,1467,241,497,0,0,118,202,129,221,47,56,61,100,229,600
Frank Brickowski,POWER FORWARD,27,LOS ANGELES LAKERS,37,0,404,53,94,0,0,40,59,40,57,12,14,4,25,105,146
Frank Brickowski,CENTER,27,SAN ANTONIO SPURS,7,0,83,10,30,0,4,10,11,8,11,5,6,2,7,13,30
Junior Bridgeman,SMALL FORWARD,33,MILWAUKEE BUCKS,34,4,418,79,171,1,6,16,20,14,38,35,10,2,15,50,175
Mike Brittain,CENTER,23,SAN ANTONIO SPURS,6,0,29,4,9,0,0,1,2,2,2,2,1,0,2,3,9
Michael Brooks,SMALL FORWARD,28,INDIANA PACERS,10,0,148,13,37,0,0,7,10,9,19,11,9,0,11,19,33
Mike Brown,CENTER,23,CHICAGO BULLS,62,3,818,106,201,0,0,46,72,71,143,24,20,7,59,129,258
Tony Brown,SHOOTING GUARD,26,NEW JERSEY NETS,77,67,2339,358,810,5,20,152,206,84,135,259,89,14,153,273,873
Michael Cage,POWER FORWARD,25,LOS ANGELES CLIPPERS,80,76,2922,457,878,0,3,341,467,354,568,131,99,67,171,221,1255
Tony Campbell,SMALL FORWARD,24,DETROIT PISTONS,40,0,332,57,145,0,3,24,39,21,37,19,12,1,34,40,138
Rick Carlisle,SHOOTING GUARD,27,BOSTON CELTICS,42,0,297,30,92,5,16,15,20,8,22,35,8,0,25,28,80
Antoine Carr,POWER FORWARD,25,ATLANTA HAWKS,65,2,695,134,265,1,3,73,103,60,96,34,14,48,40,146,342
Kenny Carr,POWER FORWARD,31,PORTLAND TRAIL BLAZERS,49,43,1443,201,399,0,2,126,169,131,368,83,29,13,103,159,528
Joe Barry Carroll,CENTER,28,GOLDEN STATE WARRIORS,81,81,2724,690,1461,0,0,340,432,173,416,214,92,123,226,255,1720
Bill Cartwright,CENTER,29,NEW YORK KNICKS,58,50,1989,335,631,0,0,346,438,132,313,96,40,26,128,188,1016
Terry Catledge,POWER FORWARD,23,WASHINGTON BULLETS,78,77,2149,413,835,0,4,199,335,248,312,56,43,14,145,195,1025
Tom Chambers,POWER FORWARD,27,SEATTLE SUPERSONICS,82,82,3018,660,1446,54,145,535,630,163,382,245,81,50,268,307,1909
Maurice Cheeks,POINT GUARD,30,PHILADELPHIA 76ERS,68,68,2624,415,788,4,17,227,292,47,168,538,180,15,173,109,1061
Fred Cofield,POINT GUARD,25,CHICAGO BULLS,5,0,27,2,11,0,1,0,0,1,4,4,2,0,1,1,4
Ben Coleman,CENTER,25,NEW JERSEY NETS,68,7,1029,182,313,0,1,88,121,99,189,37,32,31,94,200,452
Don Collins,SMALL FORWARD,28,MILWAUKEE BUCKS,6,0,57,10,28,0,0,5,7,11,4,2,2,1,5,11,25
Steve Colter,POINT GUARD,24,CHICAGO BULLS,27,18,473,49,142,0,9,33,39,9,33,94,19,6,32,38,131
Steve Colter,POINT GUARD,24,PHILADELPHIA 76ERS,43,13,849,120,255,4,8,49,68,14,52,116,37,6,38,61,293
Darwin Cook,SHOOTING GUARD,28,WASHINGTON BULLETS,82,2,1420,265,622,2,23,82,103,46,99,151,98,17,96,136,614
Michael Cooper,SHOOTING GUARD,30,LOS ANGELES LAKERS,82,2,2253,322,736,89,231,126,148,58,196,373,78,43,102,199,859
Wayne Cooper,CENTER,30,DENVER NUGGETS,69,64,1561,235,524,0,3,79,109,162,311,68,13,101,78,257,549
Tyrone Corbin,SMALL FORWARD,24,SAN ANTONIO SPURS,31,15,732,113,264,0,0,49,67,52,67,80,38,3,46,81,275
Tyrone Corbin,SMALL FORWARD,24,CLEVELAND CAVALIERS,32,0,438,43,117,1,4,42,57,36,60,17,17,2,20,48,129
Dave Corzine,CENTER,30,CHICAGO BULLS,82,39,2287,294,619,0,5,95,129,199,341,209,38,87,114,202,683
Pat Cummings,POWER FORWARD,30,NEW YORK KNICKS,49,11,1056,172,382,0,0,79,110,123,189,38,26,7,85,145,423
Terry Cummings,POWER FORWARD,25,MILWAUKEE BUCKS,82,77,2770,729,1426,0,3,249,376,214,486,229,129,81,172,296,1707
Earl Cureton,CENTER,29,CHICAGO BULLS,43,36,1105,129,276,0,1,39,73,113,114,70,15,26,45,102,297
Earl Cureton,CENTER,29,LOS ANGELES CLIPPERS,35,11,868,114,234,0,1,43,79,99,126,52,18,30,35,86,271
